Quarter_Year,Recession,Unemployment_Rate,GDP_Growth,Inflation,Industrial_Production
Q3-2022,0,6.021778475,2.123055883,2.639484094,101.8120717
Q1-2020,0,5.753028906,2.812222024,2.937470446,104.9557052
Q3-2016,0,5.61564463,1.544860764,1.241109659,117.3062704
Q3-2023,0,5.293511095,1.540736539,1.306835362,106.6236755
Q4-2014,0,3.681819668,2.219930062,3.371331291,98.80227182
Q1-2018,1,10.22718549,0.27502154,2.303260087,86.4397964
Q3-2022,0,6.347209581,2.265926024,0.498347823,82.66116232
Q3-2017,1,7.13713188,1.834448937,3.66354475,75.09540193
Q3-2018,1,9.156112549,0.854439753,3.259277023,101.0625626
Q3-2015,0,5.197504152,2.959796828,2.064905377,80.241214
Q3-2015,0,5.19370543,3.733184343,0.0949775,110.112921
Q4-2018,1,9.075348377,-0.372614097,0.987897781,100.0701636
Q4-2021,0,4.883009905,1.968176047,2.242047526,91.3501881
Q4-2022,1,9.982705758,-0.999798567,2.388356619,89.1395207
Q4-2018,0,6.549612477,1.144676544,1.634510053,105.76195
Q3-2013,0,6.517770625,4.905853824,2.312386885,100.9196144
Q2-2018,0,5.276846529,3.616868764,1.376895461,112.3122352
Q2-2013,1,9.390664648,-3.321111819,3.144129828,73.16923775
Q4-2018,1,6.645373573,1.603011228,2.334419173,95.91640266
Q4-2023,0,5.875164468,0.740880831,2.708356792,93.91084942
Q2-2020,0,4.769767952,3.124802774,0.496900493,82.61877404
Q2-2022,1,4.158293633,-1.87025427,2.128731652,80.59127084
Q2-2013,0,2.620847512,1.98624479,2.871809358,94.75514565
Q1-2018,0,4.00553183,4.109120209,1.33028877,100.232546
Q1-2021,1,9.158785357,0.953850482,2.882162741,81.34702387
Q4-2015,0,4.006880317,2.868130471,3.335552535,94.93904022
Q2-2018,1,8.071165099,0.678097072,3.54247667,83.90703712
Q4-2023,0,6.144891383,0.803715729,3.712402297,91.20449804
Q1-2019,0,4.167481821,3.145999927,3.119914058,94.33443311
Q3-2019,0,6.996210863,3.521164892,1.478668793,105.7295495
Q2-2023,1,9.180189057,3.751566116,2.224989509,109.6150582
Q4-2019,0,5.032821981,1.75213684,1.516865683,102.0833344
Q4-2016,0,6.130192177,2.51956338,2.30404312,101.3163174
Q3-2016,0,5.925860682,2.593738134,2.277008154,99.19622575
Q3-2024,1,7.891718972,0.757066712,3.782382997,82.84649575
Q4-2023,0,6.292451994,3.556612826,1.259677489,105.7577138
Q3-2013,0,6.513353083,3.773098134,1.377365847,109.8316809
Q1-2022,1,6.934030625,0.90529176,3.522993313,76.57007502
Q3-2014,0,5.230322957,0.722658049,3.592720372,110.382835
Q1-2018,0,5.213755734,-0.635836256,1.122438178,116.2545384
Q1-2015,1,10.62618796,0.308111008,3.275575917,83.27359628
Q3-2022,0,4.334212474,2.457499786,1.712149721,109.2068597
Q2-2017,1,8.274187814,-1.410120315,2.723825624,107.1347933
Q4-2013,0,5.25349949,1.948362228,1.042214351,107.158636
Q1-2019,1,9.374525085,0.193612757,2.785018888,88.59576706
Q2-2016,0,3.200934327,3.192929199,2.976626485,107.7882589
Q1-2015,0,3.46279077,1.259569534,0.700808727,91.87480982
Q2-2019,1,8.131420132,-0.70776646,3.870948092,83.919571
Q2-2013,0,4.486134392,2.415791661,1.044074707,92.67354109
Q4-2017,0,2.351625796,3.165639206,2.206514305,86.52799505
Q4-2019,0,7.24729293,3.894285808,2.391048957,100.4151115
Q3-2024,1,9.554959847,1.826440941,3.744269491,92.77494123
Q3-2014,0,4.579843214,1.604811063,1.73321649,106.623495
Q4-2023,1,9.895434081,-2.294706489,3.506087012,50.17703081
Q4-2014,0,6.076690243,2.209686126,0.994212558,101.8269632
Q3-2024,0,4.196867184,0.59365977,2.731658947,100.7885471
Q3-2021,0,5.246911768,5.781492291,1.627973518,89.09265707
Q2-2016,0,4.937394301,1.452543377,2.257599305,95.5557348
Q1-2017,0,7.172526285,3.176600519,1.718860221,107.5428967
Q4-2021,0,4.748863697,3.620879328,3.225683943,100.9739895
Q4-2022,1,7.579380072,0.624958952,3.052903962,86.39285007
Q4-2013,0,2.18416384,4.992064422,2.522182386,108.9292298
Q2-2013,0,7.212742021,2.257022632,2.630049569,123.1483894
Q2-2014,0,3.817077953,1.498141891,1.80720894,97.5742685
Q2-2023,0,6.005317483,1.436050465,2.231418569,102.4677157
Q4-2013,0,5.107645146,3.400006834,2.132227516,91.08411466
Q1-2020,0,4.375017818,2.272242104,2.515920501,121.4477964
Q2-2017,0,4.610228874,1.436213213,1.643517499,94.6018579
Q2-2019,0,7.375066822,3.029566259,1.434742972,81.92108587
Q4-2023,1,5.351855053,1.844353183,4.014448934,95.96842191
Q2-2021,0,4.420317154,2.825566224,2.629369448,83.89828291
Q2-2015,0,6.359848641,3.579515671,1.328514557,112.9502898
Q4-2021,0,3.075282487,2.605718335,3.52178755,105.8929362
Q2-2016,0,6.975924212,1.787649595,1.542869352,89.72085782
Q3-2020,0,6.338374574,3.473680086,2.094898567,106.7057863
Q4-2024,0,5.407693528,1.431894096,2.934949403,96.6619221
Q3-2016,0,4.245264644,1.145337583,2.927323047,104.2678258
Q4-2014,0,2.882650767,3.887139579,1.435630309,87.18648938
Q2-2016,0,6.060568841,2.082582435,2.413793657,86.57157908
Q3-2018,1,12.13854731,1.899713945,2.953331399,98.04794259
Q4-2022,0,5.218838804,3.527913744,2.33564977,118.8388282
Q1-2018,0,2.260931884,1.991393543,1.899468092,93.54865305
Q4-2016,0,5.686274735,3.083465719,1.677794316,92.79216603
Q1-2024,0,6.290394457,5.534056329,1.230101723,96.61281817
Q2-2017,1,7.685344605,0.731622532,3.597139416,73.16897029
Q3-2024,0,4.031732111,3.198038688,1.404975936,105.528058
Q4-2018,0,3.878932657,1.786334712,3.174695899,109.0202916
Q2-2019,0,4.2029542,4.713465635,1.76495899,104.8221381
Q1-2019,0,4.741755329,4.081525256,2.387721763,98.30238609
Q1-2024,1,5.79219767,-0.705095941,4.661330877,82.91111835
Q1-2023,0,3.146243388,4.756495426,1.655526422,120.6329818
Q1-2020,1,7.320130791,1.052036002,3.183028543,77.85243535
Q3-2016,0,4.72600694,1.49154199,2.395226745,91.18847013
Q1-2024,0,4.345637345,1.781777552,1.466740878,82.081489
Q1-2013,0,5.124784575,3.55324164,2.177807243,85.78235164
Q1-2019,0,2.719736442,1.499799812,2.595829304,103.4961636
Q3-2014,0,5.394804384,1.176260331,3.360758686,95.7322077
Q1-2015,0,4.3764677,1.973350621,1.668079808,91.36114855
